"","ID","Description","Count","GeneRatio","geneID"
"GO:0002376","GO:0002376","immune system process",519,"519/2778","Ly96/Neurl3/Il1rl1/Slc40a1/Cd28/Fzd5/Fn1/Slc11a1/Sp110/Inpp5d/Gpr35/Tnfrsf11a/Marco/Cxcr4/Il10/Rassf5/Ikbke/Rab7b/Rab29/Adora1/Ptprc/Pla2g4a/Sh2d1b1/Fcgr2b/Fcgr4/Fcgr3/Fcer1g/Ly9/Slamf7/Cd48/Cd84/Slamf9/Slamf8/Aim2/Ifi214/Ifi209/Spta1/Exo1/Dusp10/Batf3/Camk1d/Prkcq/Vim/Mrc1/Apbb1ip/Il1rn/Ptgds/Bmyc/Card9/Tnfaip6/Itga4/Serping1/Ube2l6/Ptprj/Spi1/Mdk/Dgkz/Mapk8ip1/Cd44/Lmo2/Rasgrp1/Thbs1/Epb42/Bcl2l11/Il1b/Sirpa/Hck/Samhd1/Lbp/Mafb/Ada/Cd40/Prex1/Nfatc2/Was/Cybb/Cfp/Dock11/Sash3/Elf4/Il2rg/Cxcr3/Tlr13/Cysltr1/Btk/Alas2/Tlr8/Tlr7/Tpd52/Sirpb1a/Sirpb1b/Sirpb1c/Gm5150/Skil/Ptx3/Trim59/Tlr2/Fcrl2/Cd5l/S100a8/Rorc/Tnfaip8l2/Ctsk/Ctss/Ecm1/H2bc21/Fcgr1/Cd2/Ptpn22/Vav3/Tifa/Mcub/Mcoln2/Ptger3/Lyn/Svep1/Orm3/Ptprd/Jun/Pde4b/Skint3/Csf3r/Trim62/Laptm5/Atp5if1/Ptafr/Themis2/Fgr/Trim63/Nipal3/Cnr2/C1qb/C1qc/C1qa/Padi2/Tnfrsf1b/Pik3cd/Isg15/Spon2/Bst1/Tlr1/Tlr6/Rhoh/Tec/Stap1/Pf4/Cxcl2/Spp1/Crlf2/Selplg/Oasl1/Oas1c/Oas1g/Oas1a/P2rx7/Ncf1/Lat2/Sh2b2/Serpine1/Pilrb1/Card11/Actb/Hsph1/Lep/Irf5/Bpgm/Zyx/Rarres2/Tmem176a/Gpnmb/Tril/Mturn/Snca/Tnip3/Capg/Rab11fip5/Podxl2/Plxna1/Fancd2/Ret/C3ar1/Clec4a1/Clec4a3/Clec4a4/Clec4b1/Clec4a2/Clec4d/Ptpn6/Pianp/Gapdh/Cd9/Klrb1a/Klrb1b/Clec12a/Clec7a/Olr1/Ptpro/Irag2/Pirb/Pira1/Pira6/Pira2/Pira11/Lilra6/Lair1/Usp29/C5ar2/C5ar1/Slc1a5/Bcl3/Kcnn4/Pou2f2/Tgfb1/Pld3/Tyrobp/Hcst/Nfkbid/Cd22/Cd37/Fes/Lrrc32/Hbb-b1/Nlrp10/Adm/Prkcb/Il21r/Coro1a/Spn/Mylpf/Itgal/Pycard/Itgam/Itgad/Ptpre/Adam8/Tspan32/Kcnq1/Ulbp1/Zc3h12d/H60b/Vnn1/Enpp1/Arg1/Cd24a/Prdm1/Lilrb4b/Lilrb4a/Gja1/Smpdl3a/Psap/Vsir/Itgb2/Fstl3/Cfd/Cnn2/Stat6/Irs2/Rab20/F7/Ank1/Tcim/Mfhas1/Marchf1/Gdf15/Jund/Ifi30/Myo9b/Hmox1/Gapdhrt2/Il27ra/Lyl1/Dnase2a/Adcy7/Ccl22/Cx3cl1/Cklf/Cmtm3/Plcg2/Irf8/Cyba/Adk/Prkcd/Wdfy4/Shld2/Ear1/Ear10/Ear2/Lgals3/Rnase6/Mmp14/Ripk3/Il17d/Phf11a/Egr3/Lcp1/Epsti1/Diaph3/Acod1/Gpr183/Mmp12/Endod1/Fut4/Panx1/Icam1/Ldlr/Hspa8/Ubash3b/Trim29/Mpzl2/Cadm1/Pstpip1/Rab8b/Ccnb2/Cgas/Irak1bp1/Bcl2a1d/Bcl2a1a/Ctsh/Plscr1/Rbp1/Ackr4/Tlr9/Alas1/Gpx1/Ccrl2/Cmtm7/Ccr1/Ccr5/Myo1g/Ikzf1/Rel/Hba-a1/Hba-a2/Stk10/Lcp2/Dock2/Havcr2/Trim7/Gm5431/Gm12185/9930111J21Rik1/Tgtp1/Tgtp2/Ifi47/Tnip1/Nlrp3/Srebf1/Tnfrsf13b/Adora2b/Aurkb/Cd68/Tnfsf12/Mgl2/Clec10a/Arrb2/Cxcl16/Scimp/Nlrp1a/Nlrp1b/Shpk/Trpv1/Abr/Traf4/Ccl2/Ccl7/Slfn8/Slfn2/Ccl5/Ccl9/Ccl6/Ccl3/Ccl4/Wfdc21/Trim25/Rara/Ccr7/Dhx58/Ccr10/Tmem106a/Dusp3/Slc4a1/Grn/Milr1/Cd300a/Cd300lb/Cd300ld/Cd300c2/Cd300ld2/Cd300ld4/Cd300ld3/Cd300lf/Unc13d/Actg1/Gpr137b/H2bc12/Sox4/Serpinb9b/Ly86/Nedd9/Cd83/Ninj1/Syk/Sfxn1/Tifab/Ctsl/Naip2/Naip5/Naip6/Pik3r1/Cd180/Gapt/Ndufs4/Fkbp1b/Lpin1/Id2/Rsad2/Pik3cg/Nampt/Tmem229b/Fos/Tgfb3/Gpr68/Lgmn/Asb2/Evl/Pld4/Ptger4/Il7r/Dcstamp/Angpt1/Apol11a/Csf2rb2/Il2rb/Rac2/Nfam1/Endou/Racgap1/Acvr1b/Nckap1l/Ciita/Socs1/Ephb3/Masp1/Apod/Nrros/Parp14/Cd86/Hcls1/Polq/Cd80/Cd200r1/Samsn1/App/Ifngr2/Runx1/Hmga1/Rasal3/Myo1f/H2-DMa/H2-DMb2/H2-DMb1/H2-Ab1/H2-Aa/H2-Eb1/Gpsm3/Cfb/Hspa1b/Aif1/Lst1/Tnf/H2-Q10/Trim10/Ubd/H2-M3/Tnfrsf21/Pla2g7/Runx2/Trem1/Trem2/Rftn1/Plcl2/Ebi3/Ptprs/C3/Vav1/Adgre1/Nlrc4/Prkce/Gapdh-ps15/Egr1/Sting1/Ticam2/Lox/Zfp608/Cd74/Camk2a/Csf1r/Pmaip1/Cd226/Cpt1a/Tcirg1/Unc93b1/Batf2/Ccdc88b/Cd6/Slc15a3/Mpeg1/Dtx4/Lpxn/Anxa1/Dock8/Plpp6/Lipa/Hhex/Rbp4/Blnk/Pik3ap1/Calhm2/Gpam"
"GO:0008152","GO:0008152","metabolic process",1244,"1244/2778","St18/Eya1/Ly96/Mcm3/Gsta3/Atp6-ps/Ptpn18/Hs6st1/Neurl3/Ankrd23/Cox5b/Npas2/Il1rl1/Fhl2/Slc40a1/Cdk15/Cd28/Ndufs1/Fzd5/Akr1cl/Rpe/Bard1/Fn1/Slc11a1/Prkag3/Mogat1/Slc19a3/Pid1/Sp110/A630001G21Rik/Itm2c/Inpp5d/Ramp1/Klhl30/Per2/Ndufa10/Gpc1/Bok/Pam/Tnfrsf11a/Serpinb8/Inhbb/Zranb3/Mcm6/Cxcr4/Il10/Rassf5/Ikbke/Rab7b/Pm20d1/Rab29/Cdk18/Nuak2/Tmcc2/Cntn2/Prelp/Btg2/Adora1/Ube2t/Ptpn7/Pkp1/Kif14/Ptprc/Pla2g4a/Ptgs2/Ivns1abp/Niban1/Ncf2/Npl/Glul/Ier5/Soat1/Fmo4/Fmo1/Mpc2/Adcy10/Sh2d1b1/Fcgr2b/Fcgr4/Fcgr3/Fcer1g/Adamts4/Ly9/Cd84/Slamf9/Slamf8/Aim2/Ifi214/Ifi209/Spta1/Exo1/Sccpdh/Ephx1/Dusp10/Mtarc1/Cenpf/Batf3/Atf3/Nek2/Hsd11b1/Mcm10/Camk1d/Atp5f1c/Itih5/Prkcq/Vim/Pip4k2a/Il1rn/Uap1l1/Ptgds/Bmyc/Card9/Agpat2/Slc2a6/Ak8/Trub2/Prrx2/Ptges/Uck1/Bbln/Ptges2/Slc25a25/St6galnac4/St6galnac6/Niban2/Traf1/Nek6/Tnfaip6/Gpd2/B3galt1/Nostrin/Dhrs9/Klhl41/Pdk1/Atp5mc3/Ttn/Serping1/Ube2l6/Aplnr/Ptprj/Mtch2/Spi1/Mdk/Dgkz/Creb3l1/Mapk8ip1/Accsl/Hsd17b12/Ldlrad3/Cd44/Pdhx/Lmo2/Mettl15/Fmn1/Actc1/Rasgrp1/Thbs1/Bub1b/Plcb2/Rad51/Ehd4/Epb42/Map1a/Duoxa1/Gatm/Mtln/Bub1/Acoxl/Bcl2l11/Il1b/Sirpa/Idh3b/Siglec1/Adissp/Smox/Sptlc3/Snx5/Cst3/Entpd6/Trib3/Mcts2/Tpx2/Mylk2/Hck/E2f1/Trp53inp2/Acss2/Samhd1/Lbp/Fam83d/Mafb/Mybl2/Jph2/Ada/Ube2c/Neurl2/Ctsa/Pltp/Cd40/Slc2a10/Prex1/Ddx27/B4galt5/Nfatc2/Cass4/Ctsz/Eef1a2/Was/Cybb/Mid1ip1/Sash3/Elf4/Aifm1/Fmr1/Nsdhl/Slc6a8/Renbp/Flna/Dnase1l1/Dkc1/Dmd/Pcyt1b/Il2rg/Cxcr3/Ercc6l/Cox7b/Hmgn5/Srpx2/Btk/Gla/Bex3/Rnf128/Prps1/Amot/Apex2/Alas2/Pfkfb1/Tro/Klf8/Sms/Pdha1/Car5b/Asb11/Tmsb4x/Tlr8/Tlr7/Prps2/Pkia/Fabp5/Cpa3/Ect2/Nceh1/Skil/Usp13/Ccna2/Noct/Mgst2/Postn/P2ry1/Ptx3/Trim59/Bche/Fnip2/Tlr2/Kirrel1/Cd5l/Iqgap3/Fdps/Pbxip1/Pmvk/S100a8/Rorc/Ctsk/Ctss/Ecm1/Ciart/Hjv/Lix1l/Acp6/Hmgcs2/Tent5c/Cd2/Atp1a1/Ngf/Ampd1/Ptpn22/Cttnbp2nl/Gclm/Synpo2/Enpep/Elovl6/Cenpe/Manba/Ccn1/Ddah1/Mcoln2/Ptger3/Cth/Lyn/Coq3/Rragd/Car9/Melk/Aldh1b1/Nans/Galnt12/Cavin4/Mexis/Svep1/Lpar1/Snx30/Mup2/Mup1/Mup11/Mup3/Alad/Aldoart1/Ptprd/Hacd4/Jun/Dnajc6/Pde4b/Dhcr24/Echdc2/Cdkn2c/Skint3/Stil/Rad54l/Lurap1/Mutyh/B4galt2/Cdc20/Clspn/Trim62/Ak2/Serinc2/Laptm5/Sesn2/Atp5if1/Ptafr/Fgr/Rps6ka1/Trim63/Man1c1/Nipal3/Cnr2/Gale/E2f2/Tcea3/Aldh4a1/Padi2/Mfap2/Dhrs3/Tnfrsf1b/Zfp992/Mthfr/Pgd/Pik3cd/Slc25a33/Eno1/Per3/Chd5/Kcnab2/C1qtnf12/Isg15/Perm1/Cyp51/Gsap/Nos3/Atg9b/Insig1/Slc5a6/Spon2/Tacc3/Nat8l/Poln/Zfyve28/Htra3/Man2b2/Wfs1/Bst1/Sod3/Tlr1/Tlr6/Fam114a1/Limch1/Tec/Stap1/Dck/Pf4/Stbd1/Bmp3/Gpat3/Spp1/Abcg3/Hfm1/Atp5me/Crlf2/Gm35315/Galnt9/Sez6l/Coro1c/Acacb/Cit/Taok3/Ksr2/Oas1c/Oas1g/Oas1a/Aldh2/Cux2/P2rx7/Hpd/Ccdc62/Vps37b/Kmt5a/Aacs/Psph/Gusb/Ncf1/Mlxipl/Sh2b2/Serpine1/Ufsp1/Fam20c/Amz1/Gna12/Card11/Actb/Daglb/Rasl11a/Alox5ap/Hsph1/Tfpi2/Pon1/Asb4/Slc25a13/Ppp1r3a/Mdfic/Tfec/Met/Ndufa5/Lep/Hilpda/Irf5/Tspan33/Klf14/Akr1b7/Bpgm/Creb3l2/Tbxas1/Rarres2/Gpnmb/Cycs/Tril/Mturn/Adcyap1r1/Pyurf/Snca/Hpgds/Tnip3/Gadd45a/St3gal5/Hk2/H1f10/Mcm2/Klf15/Aldh1l1/Hdac11/Gxylt2/Bhlhe40/Fancd2/Hrh1/Cand2/Depp1/Ret/Apobec1/Dppa3/C3ar1/Clec4a3/Clec4a4/Clec4a2/Clstn3/Ptpn6/Cdca3/Pianp/Lpar5/Gapdh/Rad51ap1/Foxm1/Clec7a/Olr1/Ptpro/Gys2/Bcat1/Bhlhe41/Pirb/Sbk2/Peg3/Usp29/Lig1/C5ar2/C5ar1/Hif3a/Rtn2/Fosb/Ckm/Apoc1/Bcl3/Kcnn4/Plaur/Ethe1/Pou2f2/Pafah1b3/Tgfb1/Cyp2f2/Pld3/Rps16/Map4k1/Tyrobp/Hcst/Nfkbid/Hspb6/Cd22/Dpy19l3/Ccnb1-ps/Klk8/Napsa/Rcn3/Cd37/Hrc/Gys1/Car11/Dbp/Ldha/E2f8/Adamts17/Arrdc4/Ntrk3/Ticrr/Anpep/Zfp710/Fes/Iqgap1/Homer2/Prcp/Thrsp/Aqp11/Pak1/Capn5/Acer3/Lrrc32/Wnt11/Dgat2/Mogat2/Arrb1/Ucp2/Dnajb13/P2ry6/Arap1/Art2a/Rhog/Hbb-bt/Hbb-b1/Cyb5r2/Nlrp10/Ric3/Adm/Mical2/Bmal1/Spon1/Xylt1/Coq7/Gde1/Acsm5/Acsm3/Rexo5/Uqcrc2/Ndufab1/Plk1/Chp2/Prkcb/Sbk1/Sult1a1/Aldoa/Tlcd3b/Kif22/Spn/Sephs2/Ctf1/Pycard/Itgam/Itgax/Cox6a2/Htra1/Ptpre/Adam8/Fuom/Paox/Cyp2e1/Taldo1/Dusp8/Tnni2/H19/Kcnq1/Ccnd1/Tpcn2/Akap12/Ulbp1/Zc3h12d/Sash1/Fuca2/Mtfr2/Eya4/Vnn1/Enpp1/Arg1/Echdc1/Rnf217/Ddo/Cd24a/Prdm1/Lilrb4b/Lilrb4a/Gja1/Pkib/Smpdl3a/Psap/Vsir/Pcbd1/Ppa1/Egr2/Cdk1/Mmp11/Chchd10/Prmt2/S100b/Lss/Col6a1/Itgb2/Pfkl/Cstb/Fstl3/Cfd/Cnn2/Pcsk4/Gadd45b/Matk/Pip5k1c/Tle6/Nuak1/Stab2/Ascl1/Parpbp/Chpt1/Ndufa12/Acss3/Ptprq/Trhde/Tph2/Cpm/Hmga2/Ppm1h/Agap2/B4galnt1/Stat6/Nab2/Cs/Tmt1b/Retn/Irs2/F7/F10/Cln8/Ckap2/Ank1/Tcim/Htra4/Ddhd2/Bag4/Ppp1r3b/Msr1/Cyp4v3/Acsl1/Asb5/Hpgd/Galnt7/Marchf1/Atp6v1b2/Comp/Gdf15/Jund/Slc27a1/Cyp4f18/Hmox1/Mcm5/Gapdhrt2/Tecr/Il27ra/Lyl1/Dnase2a/Junb/Man2b1/Adcy7/Nkd1/Cx3cl1/Dpep2/Pla2g15/Cyb5b/Lncbate1/Ldhd/Nudt7/Plcg2/Irf8/Slc7a5/Cyba/Mvd/Cdt1/Aprt/Galns/Acta1/Pdhb/Acox2/Nr1d2/Myoz1/Plau/Adk/Zfp503/Chdh/Tkt/Prkcd/Mustn1/Itih4/Ogdhl/Wdfy4/Shld2/Ptger2/Samd4/Lgals3/Slc7a7/Mmp14/Fitm1/Ripk3/Cma1/Mcpt4/Il17d/Sgcg/Ctsb/Pbk/Esco2/Slc25a37/Egr3/Hr/Gfra2/Epsti1/Diaph3/Acod1/Mycbp2/Dct/Mmp13/Mmp12/Sesn3/Fut4/Panx1/S1pr2/Icam1/Ldlr/Angptl8/St14/Slc37a2/Hspa8/Ubash3b/Sorl1/Sc5d/Trim29/Abcg4/Atp5mg/Il10ra/Apoc3/Cadm1/Pts/Dlat/Rab39/Cspg4/Cox5a/Hexa/Pkm/Cilp/Pclaf/Aph1c/Aldh1a2/Klhl31/Gsta4/Cgas/Cd109/Ttk/Me1/Bcl2a1d/Ctsh/Plscr1/Pxylp1/Spsb4/Nmnat3/Rbp1/Tlr9/Alas1/Ifrd2/Traip/Gpx1/Pfkfb4/Pth1r/Glb1/Abhd5/Ccr1/Ccr5/Dusp18/Pgam2/Gck/Tns3/Ikzf1/Fignl1/Plek/Mdh1/Pus10/Rel/Sptbn1/Chac2/Hba-a1/Sh3pxd2b/Stk10/Lcp2/Slit3/Pank3/Hmmr/Cyfip2/Havcr2/Trim7/Gm5431/Gm12185/9930111J21Rik1/Tgtp1/Tgtp2/Ifi47/Uqcrq/Rad50/Tnip1/Obscn/Nlrp3/Pemt/Srebf1/Mfap4/Adora2b/Trpv2/Hs3st3b1/Myh8/Pik3r5/Aurkb/Tnfsf12/Tnk1/Ybx2/Slc2a4/Arrb2/Zmynd15/Eno3/Scimp/Nlrp1a/Nlrp1b/Atp2a3/Emc6/Shpk/Trpv1/Aspa/Serpinf1/Rilp/Traf4/Ccl2/Unc45b/Slfn9/Slfn8/Slfn2/Ccl5/Ccl3/Ccl4/Acaca/Gdpd1/Trim25/Nog/Hlf/Tob1/Rsad1/Acsf2/Eme1/Cisd3/Grb7/Rara/Top2a/Ccr7/Jup/Acly/Dhx58/Atp6v0a1/Coasy/Mlx/Brca1/Tmem106a/Meox1/Dusp3/Hrob/Slc4a1/Grn/Mrc2/Pitpnc1/Map2k6/Cd300a/Cd300ld/Cd300c2/Cd300ld3/Armc7/Trim47/Ten1/Ube2o/Tk1/Birc5/Socs3/C1qtnf1/Actg1/Slc25a10/Pcyt2/Pycr1/Hmga1b/Fasn/Slc16a3/Fn3k/Akr1c12/Idi1/Gpr137b/Nkapl/H2ac13/H2ac15/H1f5/H2ac22/H2ac23/H2ac24/H2ac12/H2ac11/H2ac10/H3c6/H2ac7/H2ac6/H2ac4/H1f1/Gmnn/Sox4/Uqcrfs1/Mylk4/Serpinb6b/Serpinb9b/Serpinb6a/Gcnt2/Nedd9/Cd83/Gmpr/Tpmt/Sema4d/Syk/Sfxn1/Hk3/Rgs14/Tifab/Klhl3/Ctsl/Cdk20/Adamts16/Cox7c/Ckmt2/Enc1/Naip2/Naip5/Naip6/Naip1/Ccnb1/Pik3r1/Rnf180/Gapt/Plk2/Gzma/Ndufs4/Isl1/Parp8/Efr3b/Lpin1/Rrm2/Id2/Rsad2/Sh3yl1/Dld/Pik3cg/Nampt/Ifrd1/Immp2l/Lrrn3/L2hgdh/Pygl/Dhrs7/Hspa2/Sptb/Rdh11/Actn1/Acot4/Fos/Tgfb3/Fbln5/Lgmn/Asb2/Ifi27/Serpina3b/Serpina3i/Serpina3j/Serpina3m/Ckb/Aspg/Adss1/Pld4/Crip1/Ptger4/Dab2/Il7r/Npr3/Basp1/Retreg1/Cox6c/Angpt1/Ndufb9/Sqle/Cyc1/Dgat1/Recql4/Pvalb/Ncf4/Rac2/Gcat/Mrtfa/Tef/Pmm1/Nfam1/Pnpla5/Pnpla3/Cerk/Plxnb2/Slc38a1/Endou/Gpd1/Galnt6/Acvr1b/Nr4a1/Espl1/Itga5/Nckap1l/Ppp1r1a/Abat/Ciita/Socs1/Sdf2l1/Prodh/Cldn5/Cyp2ab1/Clcn2/Ephb3/Igf2bp2/Etv5/St6gal1/Masp1/Trp63/P3h2/Apod/Nrros/Fbxo45/Tnk2/Parp14/Cd86/Eaf2/Hcls1/Polq/Cd80/Cd200r1/St3gal6/Vgll3/Gbe1/Samsn1/App/Adamts5/Runx1/Cbr3/Chaf1b/Ripk4/Zdhhc14/Synj2/Rps6ka2/Mpc1/Agpat4/Pnldc1/Acat2/Ccnf/Abca17/Rpl3l/Fahd1/Chtf18/Nme4/Hmga1/Fkbp5/Abcg1/Cbs/Cyp4f39/H2-DMa/H2-DMb2/H2-DMb1/Gpsm3/Cfb/Hspa1b/Hspa1a/Aif1/Tnf/Ubd/H2-M3/Tnfrsf21/Pla2g7/Runx2/Nfkbie/Capn11/Trerf1/Trem1/Trem2/Nfya/Apobec2/Rftn1/Plcl2/Slc5a7/Uhrf1/Ptprs/Rfx2/C3/Vav1/Nudt12/Tgif1/Myom1/Lbh/Ehd3/Nlrc4/Qpct/Cdkl4/Slc8a1/Prkce/Nrxn1/Gapdh-ps15/B4galt6/Cdc25c/Egr1/Sting1/Hbegf/Apbb3/Diaph1/Gnpda1/Spry4/Ticam2/Cdo1/Eno1b/Lox/Zfp608/Marchf3/Cd74/Camk2a/Csf1r/Alpk2/Pmaip1/Mc5r/Mc2r/Lipg/Cndp2/Cd226/Cpt1a/Tcirg1/Aldh3b1/Unc93b1/Aldh3b3/Aldh3b2/Pcx/Rce1/Top6bl/Ctsf/Actn3/Npas4/Tm7sf2/Cdca5/Batf2/Pygm/Ccdc88b/Slc3a2/Bscl2/Fads2/Fads1/Cd6/Dtx4/Fam111a/Anxa1/Aldh1a7/Apba1/Fxn/Plpp6/Rcl1/Lipf/Stambpl1/Acta2/Lipa/Ppp1r3c/Hhex/Myof/Rbp4/Pdlim1/Aldh18a1/Entpd1/Blnk/Sfrp5/Got1/Scd3/Scd2/Scd4/Scd1/Sfxn3/Sh3pxd2a/Dusp5/Gpam/Afap1l2/ND1/COX1/COX2/ATP8/ATP6/COX3/ND3/ND4L/ND4/ND5/ND6/CYTB"
